ID,albanian,arab,belarusian,bulgarian,chinese,czech,english,estonian,finnish,french,german,greek,hungarian,italian,japanese,latvian,lithuanian,polish,romanian,russian,swedish,turkish,ukrainian,yugoslav,spanish,portuguese,dutch
187,Aegean Islands,Aljuzur aliijia,,,Aiqinhaizhudao,Egejské ostrovy,Aegean Islands,Egeuse saared,Egeanmeren saaret,Îles Égéennes,Ägäische Inseln,Nisia Aigaioy Pelagoys,Égei-szigetek,Isole egee,Ēge umi shotō,Aegean Islands,Egėjo salos,Wyspy Egejskie,Aegean Islands,Egejskie ostrova,Egeiska öarna,Ege Adaları,,Egejski otoci,Islas del Egeo,Ilhas Egeias,Egeïsche Eilanden
188,Memel,Memel,,,Meimei'er,Memel,Memel,Memel,Memel,Memel,Memel,Memel,Memel,Memel,Memel,Memel,Memel,Memel,Memel,Memel',Memel,Memel,,Memel,Memel,Memel,Memel
189,Siauliai,Shawli,,,Xiaoli'ai,Šiauliai,Siauliai,Šiauliai,Šiauliai,Šiauliai,Schaulen,Siaoyliai,Siauliai,Šiauliai,Shaurei,Šauļi,Šiauliai,Szawle,Šiauliai,Shjauljaj,Šiauliai,Šiauliai,,Šiauliai,Šiauliai,Siauliai,Schaulen
190,Kurzeme,Kurland,,,Ku'erlan,Kurzeme,Kurland,Kurzeme,Kurzeme,Kurzeme,Kurland,Kurland,Kurzeme,Kurzeme,Kūrurando,Kurzeme,Kurzeme,Kurzeme,Kurzeme,Kurland,Kurzeme,Kurzeme,,Kurzeme,Kurland,Kurland,Koerland
191,Tartu,Tartu,,,Ta'ertu,Tartu,Tartu,Tartu,Tartto,Tartu,Dorpat,Tartoy,Tartu,Tartu,Tarutou,Tartu,Tartu,Tartu,Tartu,Tartu,Tartu,Tartu,,Tartu,Tartu,Tartu,Tartoe
192,Odesa,Awdysa,,,Aodesa,Oděsa,Odessa,Odessa,Odessa,Odessa,Bockstadt,Odissos,Odessza,Odessa,Odessa,Odesa,Odesa,Odessa,Odesa,Odessa,Odessa,Odessa,,Odesa,Odesa,Odessa,Odessa
193,Chernigov,Tishirnighuf,,,Qie'ernigefu,Černihiv,Chernigov,Tšernigiv,Tšernihiv,Tchernihiv,Tschernigau,Tsernichiv,Csernyihiv,Černihiv,Cherunīhiu,Čerņihiva,Černigovas,Czernihów,Cernihiv,Chernigov,Tjernihiv,Çernihiv,,Černihiv,Chernígov,Tchernihiv,Tsjernigov
194,Mozyr,Mazir,Mazyr,,Mojili,Mazyr,Mozyr,Mazyr,Mazyr,Mazyr,Mosyr,Mozyr,Mazir,Mazyr,Mazuiru,Mazira,Mozyrius,Mozyrz,Mozyr,Mozyr',Mazyr,Mazır,,Mazir,Mazyr,Mazir,Mozir
195,Shën Petersburgu,Sant butrisbirgh,,,Shengbidebao,Petrohrad,Leningrad,Peterburi,Pietari,Saint-Pétersbourg,Ludendorffshafen,Agia Petroypoli,Szentpétervár,San Pietroburgo,Sankutopeteruburuku,Sanktpēterburga,Sankt Peterburgas,Petersburg,Sankt Petersburg,Leningrad,Sankt Petersburg,Sankt-Peterburg,,Sankt-Peterburg,San Petersburgo,São Petersburgo,Sint-Petersburg
196,Kherson,Khayrsun,,,He'ersong,Cherson,Kherson,Herson,H’erson,Kherson,Cherson,Chersona,Herszon,Cherson,Heruson,Hersona,Chersonas,Chersoń,Herson,Herson,Cherson,Herson,,Herson,Jersón,Kherson,Cherson
197,Mykolaiv,Mikulayf,,,Nigulayefu,Mykolajiv,Mykolaiv,Mõkolajiv,Mykolajiv,Mykolaïv,Greuthunger-Nikolaus,Mikolaiv,Mikolajiv,Mykolaïv,Muikorāiu,Mikolajiva,Mykolajivas,Mikołajów,Nicolaev,Nikolaev,Mykolajiv,Mıkolayiv,,Mykolajiv,Mykolaiv,Mykolaiv,Mykolajiv
198,Vinnytsia,Finitsa,,,Wennicha,Vinnycja,Vinnytsia,Vinnõtsja,Vinnytsja,Vinnytsia,Winniza,Vinitsa,Vinnicja,Vinnycja,Vuīn'nuitsuya,Vinnica,Vinycia,Winnica,Vinița,Vinnitsa,Vinnytsia,Vinnıtsya,,Vinica,Vínnytsia,Vinnytsia,Vinnytsja
199,Khmelnytskyi,Khimilinitiski,,,Hemeiliniciji,Chmelnyckyj,Khmelnytskyi,Hmelnõtskõi,Hmelnytskyi,Khmelnytskyï,Chmelnyzkyj,Khmelnytskyi,Hmelnickij,Chmel'nyc'kyj,Fumerinitsukī,Hmeļnicka,Chmelnyckis,Chmielnicki,Hmelnîțkîi,Hmel'nitskij,Chmelnytskyj,Hmelnitski,,Hmeljnycki,Jmelnitski,Khmelnytsky,Chmelnytsky
200,Zaporozhe,Zabarujya,,,Zhaboluore,Záporoží,Zaporozhe,Zaporižžja,Zaporižžja,Zaporijjia,Saporoschie,Zaporizia,Zaporizzsja,Zaporižžja,Zaporīja,Zaporižja,Zaporožė,Zaporoże,Zaporijjea,Zaporozh'e,Zaporizjzja,Zaporijya,,Zaporižžja,Zaporiyia,Zaporíjia,Zaporizja
201,Zhytomyr,Jytwmyr,,,Rituomier,Žytomyr,Zhytomyr,Žõtomõr,Žytomyr,Jytomyr,Friedenwald,Zitomir,Zsitomir,Žytomyr,Jitōmiru,Žitomira,Žitomyras,Żytomierz,Jîtomîr,Zhitomir,Zjytomyr,Jıtomır,,Žytomyr,Zhytómyr,Jitomir,Zjytomyr
202,Kievi,Kiif,,,Jifu,Kyjev,Kiev,Kiiev,Kiova,Kiev,Kiroffo,Kievo,Kijev,Kiev,Kiefu,Kijeva,Kijevas,Kijów,Kiev,Kiev,Kiev,Kiev,,Kijev,Kiev,Kiev,Kiev
203,Cherkasy,Tishirkasi,,,Qie'erqiase,Čerkasy,Cherkasy,Tšerkassõ,Tšerkasy,Tcherkassy,Tscherkassen,Tserkasi,Cserkaszi,Čerkasy,Cherukāsui,Čerkasi,Čerkasai,Czerkasy,Cerkasî,Cherkassy,Tjerkasy,Çerkası,,Čerkasy,Cherkasy,Tcherkássi,Tsjerkasy
204,Bobruysk,Babruyisk,Babruysk,,Bobuluyisike,Babrujsk,Bobruysk,Babrujsk,Babruisk,Babrouïsk,Biberach,Babroyisk,Babrujszk,Babrujsk,Baburuisuku,Babruiska,Babruiskas,Bobrujsk,Bobruysk,Bobrujsk,Babrujsk,Babruysk,,Babrujsk,Babruisk,Bobruisk,Babroejsk
205,Kaluga,Kalugha,,,Qialujia,Kaluga,Kaluga,Kaluga,Kaluga,Kalouga,Kalün,Kaloygka,Kaluga,Kaluga,Karūga,Kaluga,Kaluga,Kaługa,Kaluga,Kaluga,Kaluga,Kaluga,,Kaluga,Kaluga,Kaluga,Kaloega
206,Minsku,Minisik,,,Mingsike,Minsk,Minsk,Minsk,Minsk,Minsk,Meinha,Minsk,Minszk,Minsk,Minsuku,Minska,Minskas,Mińsk,Minsk,Minsk,Minsk,Minsk,,Minsk,Minsk,Minsk,Minsk
207,Vitebsk,Fitibisk,Vicebsk,,Weijiebusike,Vitebsk,Vitebsk,Viciebsk,Vitsebsk,Vitebsk,Weißenbau,Vitsebsk,Vicebszk,Vicebsk,Vuītsuepusuku,Vitebska,Vitebskas,Witebsk,Vitebsk,Vitebsk,Vitsebsk,Vitsebsk,,Vicebsk,Vítebsk,Vitebsk,Vitebsk
208,Luga,Luga,,,Luga,Luga,Luga,Luga,Luga,Luga,Lügen,Luga,Luga,Luga,Rūga,Luga,Luga,Luga,Luga,Luga,Luga,Luga,,Luga,Luga,Luga,Loega
209,Pskov,Bisukuf,,,Pusikefu,Pskov,Pskov,Pihkva,Pihkova,Pskov,Pleskau,Pskof,Pszkov,Pskov,Pusukofu,Pleskava,Pskovas,Psków,Pskov,Pskov,Pskov,Pskov,,Pskov,Pskov,Pskov,Pskov
210,Nevel,Nevel,,,Nevel,Nevel,Nevel,Nevel,Nevel,Nevel,Neu-Wen,Nevel,Nevel,Nevel,Kyōiku suru,Nevel,Nevel,Nevel,Nevel,Nevel,Nevel,Nevel,,Nevel,Nevel,Nevel,Nevel
211,Burgas,Burghas,,,Buerjiasi,Burgas,Burgas,Burgas,Burgas,Bourgas,Burgas,Boyrgkas,Burgasz,Burgas,Buru gasu,Burgasa,Burgasas,Burgas,Burgas,Burgas,Burgas,Burgaz,,Burgas,Burgas,Burgas,Boergas
212,Plovdiv,Blufdif,,,Puluofudifu,Plovdiv,Plovdiv,Plovdiv,Plovdiv,Plovdiv,Plowdiw,Filippoypoli,Plovdiv,Plovdiv,Purovudifu,Plovdiva,Plovdivas,Płowdiw,Plovdiv,Plovdiv,Plovdiv,Filibe,,Plovdiv,Plovdiv,Plovdiv,Plovdiv
213,Murmansk,Murmansik,,,Mo'ermansike,Murmansk,Murmansk,Murmansk,Murmansk,Mourmansk,Murmau,Moyrmansk,Murmanszk,Murmansk,Murumansuku,Murmanska,Murmanskas,Murmańsk,Murmansk,Murmansk,Murmansk,Murmansk,,Murmansk,Múrmansk,Murmansque,Moermansk
214,Arkhangelsk,Arkhanghilisk,,,A'erhange'ersike,Archangelsk,Arkhangelsk,Arhangelsk,Arkangeli,Arkhangelsk,Arkanstadt,Archangelsk,Arhangelszk,Arcangelo,Aruhangerisuku,Arhangeļska,Archangelskas,Archangielsk,Arhanghelsk,Arhangel'sk,Archangelsk,Arhangelsk,,Arhangelsk,Arcángel,Arcangel,Archangelsk
215,Onega,Onega,,,Aoneijia,Onega,Onega,Onega,Ääninen,Onega,Onawich,Onegka,Onyega,Onega,Gun ga,Onega,Onega,Onega,Onega,Onega,Onega,Onega,,Onega,Onega,Onega,Onega
216,Olonets,Uwluntis,,,Aoluonieci,Oloněc,Olonets,Aunus,Aunus,Olonets,Onoletz,Olonets,Olonets,Olonec,Oronetsu,Oloņeca,Olonecas,Ołoniec,Olonets,Olonets,Olonets,Olonets,,Olonets,Olónets,Olonets,Olonets
217,Volgograd,Fulghughrad,,,Fuerjiagele,Volgograd,Stalingrad,Volgograd,Volgograd,Volgograd,Hindenburg,Volgkogkrant,Volgográd,Volgograd,Vuorugogurādo,Volgograda,Volgogradas,Wołgograd,Volgograd,Stalingrad,Volgograd,Volgograd,,Volgograd,Volgogrado,Volgogrado,Volgastad
218,Rostov,Rustuf,,,Luosituofu,Rostov,Rostov,Rostov,Rostov,Rostov Veliki,Rostow,Rostof,Rosztov,Rostov Velikij,Rosutofu,Rostova,Rostovas,Rostów,Rostov,Rostov,Rostov,Rostov,,Rostov Veliki,Rostov,Rostóvia,Rostov
219,Moska,Musku,,,Mosike,Moskva,Moscow,Moskva,Moskova,Moscou,Moskau,Moscha,Moszkva,Mosca,Mosukuwa,Maskava,Maskva,Moskwa,Moscova,Moskva,Moskva,Moskova,,Moskva,Moscú,Moscou,Moskou
220,Kursk,Kursk,,,Kuersike,Kursk,Kursk,Kursk,Kursk,Koursk,Kaisenberg,Koyrsk,Kurszk,Kursk,Kurusuku,Kurska,Kurskas,Kursk,Kursk,Kursk,Kursk,Kursk,,Kursk,Kursk,Kursk,Koersk
221,Kharkov,Kharkif,,,Ha'erkefu,Charkov,Kharkov,Harkiv,Harkova,Kharkiv,Karkau,Charkovo,Harkov,Charkiv,Harukiu,Harkova,Charkovas,Charków,Harkov,Har'kov,Charkiv,Harkov,,Harkiv,Járkov,Carcóvia,Charkov
222,Orel,Orel,,,Orel,Orel,Orel,Orel,Orel,Orel,Örel,Orel,Orel,Orel,Oryōru,Orel,Orel,Orel,Orel,Orel,Orel,Orel,,Orel,Orel,Orel,Orel
223,Tula,Tula,,,Tula,Tula,Tula,Tula,Tula,Tula,Tülenshafen,Tula,Tula,Tula,Tula,Tula,Tula,Tula,Tula,Tula,Tula,Tula,,Tula,Tula,Tula,Toela
224,Bryansk,Bryansik,,,Buliangsike,Brjansk,Bryansk,Brjansk,Brjansk,Briansk,Waldemarstadt,Briansk,Brjanszk,Brjansk,Buryansuku,Brjanska,Brianskas,Briańsk,Breansk,Brjansk,Brjansk,Bryansk,,Brjansk,Briansk,Briansk,Brjansk
225,Sumy,Thalith,,,Sumei,Sumy,Sumy,Sumõ,Sumy,Soumy,Sumy,Soymi,Szumi,Sumy,Sūmui,Sumi,Sumai,Sumy,Sumî,Sumy,Sumy,Sumı,,Sumy,Sumy,Sumy,Soemy
226,Dnipropetrovsk,Dnibru,,,Dinieboluo,Dnipro,Dnipropetrovsk,Dnipro,Dnipro,Dnipro,Dnipropetrovsk,Ntnipro,Dnyipro,Dnipro,Donipuro,Dnipro,Dnipras,Dniepr,Dnipro,Dnepr,Dnipro,Dnipro,,Dnjipro,Dnipró,Dnipro,Dnipro
227,Donecku,Dunitsik,,,Dunniecike,Doněck,Stalino,Donetsk,Donetsk,Donetsk,Donezstadt,Ntonetsk,Doneck,Donec'k,Donetsuiku,Doņecka,Doneckas,Donieck,Donețk,Donetsk,Donetsk,Donetsk,,Donjeck,Donetsk,Donetsk,Donetsk
228,Luhansku,Luhansik,,,Lugansike,Luhansk,Voroshilovgrad,Lugansk,Luhansk,Louhansk,Lugansk,Loychansk,Luhanszk,Luhans'k,Ruhānshiku,Luhanska,Luhanskas,Ługańsk,Luhansk,Lugansk,Luhansk,Luhansk,,Lugansk,Lugansk,Luhansk,Loehansk
229,Azerbajxhani,Adhrabayjan,,,Asaibaijiang,Ázerbájdžán,Azerbaijan,Aserbaidžaan,Azerbaidžan,Azerbaïdjan,Öland,Azerbaitzan,Azerbajdzsán,Azerbaigian,Azerubaijan,Azerbaidžāna,Azerbaidžanas,Azerbejdżan,Azerbaidjan,Azerbajdzhan,Azerbajdzjan,Azerbaycan,,Azerbajdžan,Azerbaiyán,Azerbaijão,Azerbeidzjan
230,Armenia,Arminia,,,Yameiniya,Arménie,Armenia,Armeenia,Armenia,Arménie,Armenianland,Armenia,Örményország,Armenia,Arumenia,Armēnija,Armėnija,Armenia,Armenia,Armenija,Armenien,Ermenistan,,Armenija,Armenia,Arménia,Armenië
231,Georgia,Jurjia,,,Qiaozhiya,Georgia,Georgia,Georgia,Georgia,Georgia,Georgien,Georgia,Georgia,Georgia,Jōjia,Džordžija,Georgia,Georgia,Georgia,Dzhordzhija,Georgia,Georgia,,Georgia,Georgia,Geórgia,Georgië
232,Grozni,Ghruzni,,,Geluozini,Grozný,Grozny,Groznõi,Groznyi,Grozny,Dagenstadt,Gkroznu,Groznij,Groznyj,Gurozunui,Groznija,Groznas,Grozny,Groznîi,Groznyj,Groznyj,Grozni,,Grozni,Grozni,Grózni,Grozny
233,Kaukazi,Jibal alqawqaz,,,Gaojiasuoshanmai,Kavkaz,Caucasus Mountains,Kaukasus,Kaukasus,Géographie du Caucase,Kaukasien,Kaykasos,Kaukázus,Catena del Caucaso,Kōkasasu sanmyaku,Kaukāzs,Kaukazo kalnai,Kaukaz,Munții Caucaz,Kavkazskie gory,Kaukasus,Kafkas Dağları,,Kavkaz,Montañas del Cáucaso,Cordilheira do Cáucaso,Kaukasus
234,Krasnodari,Krasnudar,,,Kelasinuoda'er,Krasnodar,Krasnodar,Krasnodar,Krasnodar,Krasnodar,Wilhelmstadt,Krasnontar,Krasznodar,Krasnodar,Kurasunodāru,Krasnodara,Krasnodaras,Krasnodar,Krasnodar,Krasnodar,Krasnodar,Krasnodar,,Krasnodar,Krasnodar,Krasnodar,Krasnodar
235,Stavropol,Stafrubul,,,Sitafuluobo'er,Stavropol,Stavropol,Stavropol,Stavropol,Stavropol,Schtravonheiß,Stauropol,Sztavropol,Stavropol',Sutavuropori,Stavropole,Stavropolis,Stawropol,Stavropol,Stavropol',Stavropol,Stavropol,,Stavropol,Stávropol,Stavropol,Stavropol
236,Astrakhan,Ustirakhan,,,Asitelahan,Astrachaň,Astrakhan,Astrahan,Astrahan,Astrakhan,Letzte-Wolgastadt,Άstrachan,Asztrahán,Astrachan',Asutorahan,Astrahaņa,Astrachanė,Astrachań,Astrahan,Astrahan',Astrachan,Astrahan,,Astrahan,Astracán,Astracã,Astrachan
237,Elista,Iilista,,,Ailisita,Elista,Elista,Elista,Elista,Elista,Kalmibahën,Elista,Eliszta,Ėlista,Erisuta,Elista,Elista,Elista,Elista,Elista,Elista,Elista,,Elista,Elistá,Elista,Elista
238,Volgodonsk,Fulghudunsik,,,Fuerjiadunsike,Volgodonsk,Volgodonsk,Volgodonsk,Volgodonsk,Volgodonsk,Wolgodonsk,Volgodonsk,Volgodonsk,Volgodonsk,Vuorugodonsuku,Volgodonska,Volgodonskas,Wołgodońsk,Volgodonsk,Volgodonsk,Volgodonsk,Volgodonsk,,Volgodonsk,Volgodonsk,Volgodonsk,Volgodonsk
239,Saratov,Saratuf,,,Salatuofu,Saratov,Saratov,Saratov,Saratov,Saratov,Saratau,Saratof,Szaratov,Saratov,Saratofu,Saratova,Saratovas,Saratów,Saratov,Saratov,Saratov,Saratov,,Saratov,Sarátov,Saratov,Saratov
240,Belgorod,Bilghurud,,,Bie'ergeluode,Bělgorod,Belgorod,Belgorod,Belgorod,Belgorod,Weißenstadt,Belgkoront,Belgorod,Belgorod,Berugorodo,Belgoroda,Belgorodas,Biełgorod,Belgorod,Belgorod,Belgorod,Belgorod,,Belgorod,Bélgorod,Belgorod,Belgorod
241,Gomel,Ghumil,Homel,,Gemeili,Homel,Gomel,Homiel,Homel,Homiel,Homiel,Gomel,Homel,Homel',Homeri,Gomeļa,Gomelis,Homel,Gomel,Gomel',Homel,Homyel,,Gomel,Gómel,Gomel,Homel
242,Smolensku,Sumulinsik,,,Simolengsike,Smolensk,Smolensk,Smolensk,Smolensk,Smolensk,Smolenskau,Smolensk,Szmolenszk,Smolensk,Sumorensuku,Smoļenska,Smolenskas,Smoleńsk,Smolensk,Smolensk,Smolensk,Smolensk,,Smolensk,Smolensk,Smolensk,Smolensk
243,Roslavl,Rusil,,,Luosilafuer,Roslavl,Roslavl,Roslavl,Roslavl,Roslavl,Roslavenland,Roslavl,Roszlavl,Roslavl',Rosuravuri,Roslavl,Roslavlis,Rosław,Roslavl,Roslavl',Roslavl,Roslavl,,Roslavl,Roslavl,Roslavl,Roslavl
244,Volkhov,Fulkhawf,,,Wo'erhuofu,Volchov,Volkhov,Volhov,Olhava,Volkhov,Neu-Volkstadt,Volkhov,Volkhov,Volchov,Vuoruhofu,Volhova,Volchovas,Wołchow,Volkhov,Volhov,Volchov,Volhov,,Volhov,Vóljov,Volkhov,Volchov
245,Millerovo,Millerovo,,,Milieluowo,Millerovo,Millerovo,Millerovo,Millerovo,Millerovo,Müllerau,Millerovo,Millerovo,Millerovo,Millerovo,Millerovo,Millerovo,Millerovo,Millerovo,Millerovo,Millerovo,Millerovo,,Millerovo,Millerovo,Millerovo,Millerovo
246,Rzhev,Rajif,,,Lerefu,Ržev,Rzhev,Ržev,Ržev,Rjev,Rewen,Rzhev,Rzhev,Ržev,Rujefu,Rzhev,Rževas,Rżew,Rjev,Rzhev,Rzjev,Rjev,,Rzhev,Rzhev,Rjev,Rzjev
247,Kalinin,Kalinin,,,Jialining,Kalinin,Kalinin,Kalinin,Kalinin,Kalinine,Königstadt,Kalinin,Kalinin,Kalinin,Karīnin,Kalinin,Kalininas,Kalinin,Kalinin,Kalinin,Kalinin,Kalinin,,Kalinin,Kalinin,Kalinin,Kalinin
248,Yaroslavl,Yaruslafil,,,Yaluosilafuer,Jaroslavl,Yaroslavl,Jaroslavl,Jaroslavl,Iaroslavl,Yaroschaffen,Giaroslavl,Jaroszlavl,Jaroslavl',Yarosuravuri,Jaroslavļa,Jaroslavlis,Jarosław,Iaroslavl,Jaroslavl',Jaroslavl,Yaroslavl,,Jaroslavlj,Yaroslavl,Iaroslavl,Jaroslavl
249,Kazani,Hirman,,,Kashan,Kazaň,Kazan,Kaasan,Kazan,Kazan,Kazanshafen,Kazan,Kazany,Kazan',Kazan,Kazaņa,Kazanė,Kazań,Kazan,Kazan',Kazan,Kaza,,Kazanj,Kazán,Cazã,Kazan
250,Ulyanovsky,Ulyanovsky,,,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky,Lanowstadt,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ul'janovskij,Ulyanovsky,Ulyanovsky,,Ulyanovsky,Ulyanovsky,Ulyanovsky,Ulyanovsky
251,Kuibyshev,Kuibyshev,,,Gubixuefu,Kujbyšev,Kuibyshev,Kuibyshev,Kuibyšev,Kouïbychev,Kübßstadt,Kuibyshev,Kujbisev,Kujbyšev,Kuibishefu,Kuibyshev,Kuibyševas,Kujbyszew,Kuibyshev,Kujbyshev,Kuybyshev,Kuibyshev,,Kuibyshev,Kúibyshev,Kuibyshev,Koejbysjev
252,Gorki,Gorki,,,Gorki,Gorki,Gorki,Gorki,Gorki,Gorki,Gorkendorf,Gorki,Gorki,Gorki,Gākī,Gorki,Gorki,Gorki,Gorki,Gorki,Gorki,Gorki,,Gorki,Gorki,Gorki,Gorki
253,Ivanovo,Iifanufu,,,Yiwannuowo,Ivanovo,Ivanovo,Ivanovo,Ivanovo,Ivanovo,Ivansbach,Ivanovo,Ivanovo,Ivanovo,Ivuanovuo,Ivanova,Ivanovas,Iwanowo,Ivanov,Ivanovo,Ivanovo,İvanovo,,Ivanovo,Ivánovo,Ivanovo,Ivanovo
254,Ryazan,Riazan,,,Liangzan,Rjazaň,Ryazan,Rjazan,Rjazan,Riazan,Rayzenvich,Riazan,Rjazany,Rjazan',Ryazan,Rjazaņa,Riazanė,Riazań,Reazan,Rjazan',Rjazan,Ryazan,,Rjazanj,Riazán,Riazã,Rjazan
255,Penza,Bitza,,,Bensa,Penza,Penza,Penza,Penza,Penza,Pensa,Penza,Penza,Penza,Penza,Penza,Penza,Penza,Penza,Penza,Penza,Penza,,Penza,Penza,Penza,Penza
256,Cheboksary,Tshibuksari,,,Qiebokesalei,Čeboksary,Cheboksary,Tšeboksarõ,Tšeboksary,Tcheboksary,Hebach,Tseboxari,Csebokszári,Čeboksary,Chebokusaru,Čeboksari,Čeboksarai,Czeboksary,Ceboksarî,Cheboksary,Tjeboksary,Çeboksarı,,Čeboksari,Cheboksary,Tcheboksary,Tsjeboksary
257,Tambov,Tambuf,,,Tanbofu,Tambov,Tambov,Tambov,Tambov,Tambov,Tambau,Tabof,Tambov,Tambov,Tanbofu,Tambova,Tambovas,Tambow,Tambov,Tambov,Tambov,Tambov,,Tambov,Tambov,Tambov,Tambov
258,Lipetsk,Libitsik,,,Lipeicike,Lipeck,Lipetsk,Lipetsk,Lipetsk,Lipetsk,Libach,Lipetsk,Lipeck,Lipeck,Ripetsuku,Ļipecka,Lipeckas,Lipieck,Lipețk,Lipetsk,Lipetsk,Lipetsk,,Lipeck,Lípetsk,Lipetsk,Lipetsk
259,Poltava,Bultafa,,,Bo'ertawa,Poltava,Poltava,Poltava,Pultava,Poltava,Poltawien,Poltava,Poltava,Poltava,Porutavua,Poltava,Poltava,Połtawa,Poltava,Poltava,Poltava,Poltava,,Poltava,Poltava,Poltava,Poltava
260,Voronezh,Farunish,,,Woluonieri,Voroněž,Voronezh,Voronež,Voronež,Voronej,Woronesch,Voronez,Voronyezs,Voronež,Vuoroneji,Voroņeža,Voronežas,Woroneż,Voronej,Voronezh,Voronezj,Voronej,,Voronjež,Vorónezh,Voronej,Voronezj
261,Ohaio,Uwhayu,,,Ehaiezhou,Ohio,Ohio,Ohio,Ohio,Ohio,Ohio,Ochaio,Ohio,Ohio,Ohaio-shū,Ohaio,Ohajas,Ohio,Ohio,Ogajo,Ohio,Ohio,,Ohio,Ohio,Ohio,Ohio
262,Pechora,Bitshura,,,Bozhaola,Pečora,Pechora,Petšora,Petšora,Petchora,Pechau,Pechora,Pecsora,Pečora,Pechora,Pečora,Pechora,Peczora,Pechora,Pechora,Petjora,Peçora,,Pečora,Pechora,Pechora,Petsjora
263,Novgorod,Filiki nufghurud,,,Danuofugeluode,Veliký Novgorod,Novgorod,Veliki Novgorod,Novgorod,Novgorod,Naugard,Novgkoront,Velikij Novgorod,Velikij Novgorod,Novugorodo,Veļikijnovgoroda,Didysis Naugardas,Nowogród Wielki,Veliki Novgorod,Velikij Novgorod,Novgorod,Veliki Novgorod,,Veliki Novgorod,Veliki Nóvgorod,Novogárdia Magna,Veliki Novgorod
264,Tikhvin,Taykhafin,,,Jihewen,Tichvin,Tikhvin,Tihvin,Tihvinä,Tikhvine,Tichwin,Tikhvin,Tikhvin,Tichvin,Chifuvuin,Tihvina,Tichvinas,Tichwin,Tihvin,Tihvin,Tichvin,Tihvin,,Tihvin,Tijvin,Tikhvin,Tichvin
265,Mikhaylovka,Mikhaylovka,,,Mikhaylovka,Mikhaylovka,Mikhaylovka,Mikhaylovka,Mikhaylovka,Mikhaylovka,Michailaue,Mikhaylovka,Mihajlovka,Michajlovka,Mikhaylovka,Mikhaylovka,Mikhaylovka,Michajłowka,Mikhaylovka,Mihajlovka,Mikhaylovka,Mikhaylovka,,Mikhaylovka,Mikhaylovka,Mikhaylovka,Mikhaylovka
266,Teherani,Tahran,,,Deheilan,Teherán,Tehran,Teheran,Teheran,Téhéran,Teheran,Techerani,Teherán,Teheran,Teheran,Teherāna,Teheranas,Teheran,Teheran,Tegeran,Teheran,Tahran,,Teheran,Teherán,Teerã,Teheran
267,Kabuli,Kabil,,,Kabuer,Kábul,Kabul,Kabul,Kabul,Kaboul,Kabul,Kaboyl,Kabul,Kabul,Kāburu,Kabula,Kabulas,Kabul,Kabul,Kabul,Kabul,Kâbil,,Kabul,Kabul,Cabul,Kaboel
268,French Somaliland,Alsuwmal alfaransiu,,,Fashusuomali,Francouzské Somálsko,French Somaliland,French Somaliland,Ranskan Somalimaa,Côte française des Somalis,Geschichte Dschibutis#Kolonialzeit,French Somaliland,Francia Szomáliföld,Somalia francese,Furansu-ryō somarirando,French Somaliland,Prancūzijos Somalilandas,Somali Francuskie,Somalia franceză,Frantsuzskij bereg Somali,Franska Somaliland,French Somaliland,,French Somaliland,Somalia francesa,Somalilândia Francesa,Frans-Somaliland
269,British Somaliland,Alsuwmal albiritaniu,,,Yingshusuomali,Britské Somálsko,British Somaliland,British Somaliland,Brittiläinen Somalimaa,Somalie britannique,Britisch-Somaliland,British Somaliland,British Somaliland,Somalia britannica,Igirisu-ryō somarirando,British Somaliland,Britų Somalilandas,Somali Brytyjskie,Somalia Britanică,Britanskoe Somali,Brittiska Somaliland,Britanya Somalisi,,Britanski Somaliland,Somalia británica,Somalilândia Britânica,Brits-Somaliland
270,Ishujt Pitcairn,Jazur bitkirn,,,Pitekaienqundao,Pitcairnovy ostrovy,Pitcairn Island,Pitcairn,Pitcairnsaaret,Îles Pitcairn,Pitcairninseln,Nisoi Pitkairn,Pitcairn-szigetek,Isole Pitcairn,Pitokeanshotō,Pitkērna,Pitkerno salos,Pitcairn,Insulele Pitcairn,Ostrova Pitkern,Pitcairnöarna,Pitcairn Adaları,,Pitcairnovo Otočje,Islas Pitcairn,Ilhas Pitcairn,Pitcairneilanden
271,Etiopia,Iithyubya,,,Aisaiebiya,Etiopie,Ethiopia,Etioopia,Etiopia,Éthiopie,Äthiopien,Aithiopia,Etiópia,Etiopia,Echiopia,Etiopija,Etiopija,Etiopia,Etiopia,Efiopija,Etiopien,Etiyopya,,Etiopija,Etiopía,Etiópia,Ethiopië
272,Senegali,Alsinighal,,,Saineijia'er,Senegal,Senegal,Senegal,Senegal,Sénégal,Senegal,Senegali,Szenegál,Senegal,Senegaru,Senegāla,Senegalas,Senegal,Senegal,Senegal,Senegal,Senegal,,Senegal,Senegal,Senegal,Senegal
